United States,1,745,754
Brazil,411,821
Russia,370,680
Spain,283,849
United Kingdom,267,240
Italy,231,139
France,182,913
Germany,182,448
Turkey,159,797
India,154,073
Iran,141,591
Peru,135,905
Canada,88,975
China,82,995
Chile,82,289
Mexico,81,559
Saudi Arabia,78,541
Pakistan,59,151
Belgium,57,592
Qatar,48,947
Netherlands,45,768
Belarus,38,956
Bangladesh,38,292
Ecuador,38,103
Sweden,35,088
Singapore,32,876
United Arab Emirates,31,969
Portugal,31,292
Switzerland,30,776
South Africa,25,937
Ireland,24,803
Colombia,24,104
Indonesia,23,851
Kuwait,23,267
Poland,22,473
Ukraine,21,905
Egypt,19,666
Romania,18,594
Israel,16,793
Japan,16,651
Austria,16,591
Dominican Republic,15,723
Philippines,15,049
Argentina,13,933
Afghanistan,12,456
Panama,11,728
Denmark,11,480
South Korea,11,344
Serbia,11,275
Bahrain,9,692
Kazakhstan,9,576
Czechia,9,086
Algeria,8,857
Nigeria,8,733
Norway,8,401
Oman,8,373
Armenia,7,774
Bolivia,7,768
Malaysia,7,619
Morocco,7,601
Moldova,7,537
Ghana,7,303
Australia,7,139
Finland,6,692
Cameroon,5,436
Iraq,5,135
Honduras,4,640
Azerbaijan,4,568
Sudan,4,346
Guatemala,4,145
Luxembourg,4,001
Hungary,3,793
Tajikistan,3,424
Uzbekistan,3,369
Guinea,3,275
Senegal,3,253
Thailand,3,054
Greece,2,903
Djibouti,2,697
Ivory Coast,2,556
DR Congo,2,546
Bulgaria,2,460
Bosnia and Herzegovina,2,435
Gabon,2,319
Croatia,2,244
El Salvador,2,109
North Macedonia,2,039
Cuba,1,974
Estonia,1,840
Iceland,1,805
Somalia,1,731
Lithuania,1,647
Kyrgyzstan,1,520
Slovakia,1,515
New Zealand,1,504
Kenya,1,471
Slovenia,1,471
Sri Lanka,1,469
Maldives,1,457
Haiti,1,320
Venezuela,1,245
Guinea-Bissau,1,195
Lebanon,1,161
Mali,1,116
Hong Kong,1,067
Latvia,1,057
Zambia,1,057
Tunisia,1,051
Albania,1,050
Kosovo,1,047
Equatorial Guinea,1,043
South Sudan,994
Costa Rica,984
Niger,952
Cyprus,939
Nepal,886
Paraguay,884
Burkina Faso,845
Uruguay,803
Sierra Leone,782
Andorra,763
Nicaragua,759
Georgia,735
Ethiopia,731
Jordan,720
Chad,715
Diamond Princess (Cruise),712
CAR,702
San Marino,667
Madagascar,612
Malta,612
Congo,571
Jamaica,569
Tanzania,509
Sao Tome and Principe,443
Taiwan,441
Palestine,434
Togo,395
Cape Verde,390
Rwanda,346
Isle of Man,336
Mauritius,334
Vietnam,327
Montenegro,324
Jersey,308
Mauritania,292
Uganda,281
Eswatini,272
Liberia,266
Yemen,256
Guernsey,252
Mozambique,227
Benin,210
Myanmar,206
Faeroe Islands,187
Mongolia,161
Gibraltar,157
Brunei,141
Cayman Islands,140
Guyana,139
Bermuda,139
Zimbabwe,132
Cambodia,124
Syria,121
Trinidad and Tobago,116
Aruba,101
Malawi,101
Bahamas,100
Libya,99
Monaco,98
Barbados,92
Comoros,87
Liechtenstein,82
Sint Maarten,77
Angola,71
Polynésie française,60
Macao,45
Burundi,42
Eritrea,39
Botswana,35
Bhutan,28
Gambia,25
Antigua and Barbuda,25
Timor-Leste,24
Grenada,23
Namibia,22
Laos,19
Saint Lucia,18
St. Vincent Grenadines,18
Curaçao,18
Belize,18
Fiji,18
New Caledonia,18
Dominica,16
Saint Kitts and Nevis,15
Falkland Islands,13
Greenland,13
Vatican City,12
Suriname,12
Turks and Caicos,12
Seychelles,11
Montserrat,11
Western Sahara,9
British Virgin Islands,8
Papua New Guinea,8
Caribbean Netherlands,6
Anguilla,3
Saint Pierre Miquelon,1
Wallis and Futuna,-
Vanuatu,-
Tuvalu,-
Turkmenistan,-
Tonga,-
Tokelau,-
Svalbard and Jan Mayen,-
South Georgia and the South Sandwich Islands,-
Solomon Islands,-
Samoa,-
Saint Helena,-
Pitcairn,-
Palau,-
Norfolk Island,-
Niue,-
Nauru,-
Micronesia,-
Marshall Islands,-
Lesotho,-
North Korea,-
Kiribati,-
Heard Island and Mcdonald Islands,-
Cook Islands,-
Cocos (Keeling) Islands,-
Christmas Island,-
British Indian Ocean Territory,-
Bouvet Island,-
Antarctica,-
American Samoa,-
Aland Islands,-
